,Strategy_Return,BuyHold_Return,Strategy_Cumulative,BuyHold_Cumulative
2980,,,,
2981,0.00040886979340348795,0.00040886979340348795,1.0004088697934035,1.0004088697934035
2982,-0.017709682066159638,-0.017709682066159638,0.9826919467731963,0.9826919467731963
2983,-0.010383306280891347,-0.010383306280891347,0.9724883553100848,0.9724883553100848
2984,-0.011068125319716127,-0.011068125319716127,0.9617247323215482,0.9617247323215482
2985,-0.019630593803755092,-0.019630593803755092,0.9428455047503188,0.9428455047503188
2986,0.00424657678295115,0.00424657678295115,0.9468493705807014,0.9468493705807014
2987,-0.012208908631214044,-0.012208908631214044,0.9352893731277591,0.9352893731277591
2988,-0.002508734960355752,-0.002508734960355752,0.9329429799793443,0.9329429799793443
2989,-0.004938111763292619,-0.004938111763292619,0.928336003275427,0.928336003275427
2990,0.02483557657573443,0.02483557657573443,0.9513917631727851,0.9513917631727851
2991,0.018010863026513446,0.018010863026513446,0.9685271499038433,0.9685271499038433
2992,0.006757023195741674,0.006757023195741674,0.9750715103214491,0.9750715103214491
2993,0.009714098557489281,0.009714098557489281,0.9845434510733116,0.9845434510733116
2994,-0.02350515738811476,-0.02350515738811476,0.9614016023003958,0.9614016023003958
2995,0.004702320026179541,0.004702320026179541,0.965922420308094,0.965922420308094
2996,-0.003209406162276718,-0.003209406162276718,0.962822382940076,0.962822382940076
2997,0.008228030081359972,0.008228030081359972,0.9707445144699137,0.9707445144699137
2998,0.014636061296953384,0.014636061296953384,0.9849523906873766,0.9849523906873766
2999,-0.01796561821918241,-0.01796561821918241,0.9672571120722162,0.9672571120722162
3000,-0.01971862462284668,-0.01971862462284668,0.9481841321654855,0.9481841321654855
3001,-0.0032693729437095476,-0.0032693729437095476,0.9450841646181289,0.9450841646181289
3002,0.016126988705057244,0.016126988705057244,0.960325526266254,0.960325526266254
3003,0.0011205325743297578,0.0011205325743297578,0.9614016023003957,0.9614016023003957
3004,-0.021361499176518417,-0.021361499176518417,0.9408646227645523,0.9408646227645523
3005,-0.006474664625225612,-0.006474664625225612,0.9347728398744124,0.9347728398744124
3006,-0.010731840087814692,-0.010731840087814692,0.9247410072384478,0.9247410072384478
3007,-0.01773881088009377,-0.01773881088009377,0.9083372013979775,0.9083372013979775
3008,0.015049299070161837,0.015049299070161837,0.9220070395983695,0.9220070395983695
3009,0.022063917828524238,0.022063917828524238,0.9423501271573889,0.9423501271573889
3010,-0.0025584728974581417,-0.0025584728974581417,0.9399391498971404,0.9399391498971404
3011,-0.01523028344863897,-0.01523028344863897,0.9256236102197343,0.9256236102197343
3012,0.01839609828923372,0.01839609828923372,0.9426514731321719,0.9426514731321719
3013,-0.004978431659963367,-0.004978431659963367,0.9379585471940196,0.9379585471940196
3014,-0.008124566160419677,-0.008124566160419677,0.9303380409216107,0.9303380409216107
3015,-0.02947920479297028,-0.02947920479297028,0.9029124152865917,0.9029124152865917
3016,-0.007581728256061626,-0.007581728256061626,0.8960667787148645,0.8960667787148645
3017,0.026811005970624135,0.026811005970624135,0.9200912304690667,0.9200912304690667
3018,-0.00451558295761656,-0.00451558295761656,0.9159364821893081,0.9159364821893081
3019,-0.012714873503020474,-0.012714873503020474,0.9042904656814695,0.9042904656814695
3020,-0.007308508273522918,-0.007308508273522918,0.8976814513313687,0.8976814513313687
3021,0.021990501642690008,0.021990501642690008,0.9174219167614834,0.9174219167614834
3022,0.022174113531284734,0.022174113531284734,0.9377649344998414,0.9377649344998414
3023,0.01251100807293426,0.01251100807293426,0.9494973191658836,0.9494973191658836
3024,0.010952719770619845,0.010952719770619845,0.9598968972256624,0.9598968972256624
3025,-0.0002924781614245253,-0.0002924781614245253,0.9596161483460047,0.9596161483460047
3026,0.011701457812834049,0.011701457812834049,0.9708450562223898,0.9708450562223898
3027,-0.012878610101131005,-0.012878610101131005,0.9583419212746911,0.9583419212746911
3028,0.01507457071242091,0.01507457071242091,0.9727885143336237,0.9727885143336237
3029,0.004883556451546811,0.004883556451546811,0.9775391819587883,0.9775391819587883
3030,0.007112922447175096,0.007112922447175096,0.9844923423491362,0.9844923423491362
3031,0.01237094158486407,0.01237094158486407,0.9966714396070834,0.9966714396070834
3032,-0.006174825662262684,-0.006174825662262684,0.9905171672249533,0.9905171672249533
3033,-0.015391364986838574,-0.015391364986838574,0.9752717559784646,0.9752717559784646
3034,0.002834215334215351,0.002834215334215351,0.9780358861442859,0.9780358861442859
3035,0.008566566596436953,0.008566566596436953,0.9864142956966462,0.9864142956966462
