,Date,Close,High,Low,Open,Volume,Returns,MA20,MA50,Volatility
0,2010-01-04,84.57846069335938,84.62323701974455,83.22019041926117,83.86201100201663,118944600,,,,
1,2010-01-05,84.80235290527344,84.83967030863525,84.22023785338185,84.5262246182069,111579900,0.002647154016266473,,,
2,2010-01-06,84.86206817626953,85.07103199378142,84.65310435875766,84.72026885988491,116074400,0.0007041699781937805,,,
3,2010-01-07,85.22030639648438,85.32478831807188,84.46653908174217,84.705355715919,131091100,0.0042214175062378345,,,
4,2010-01-08,85.5038833618164,85.54120076704136,84.82475099864786,84.99639739747477,126402800,0.0033275750501611245,,,
5,2010-01-11,85.6233139038086,85.92183043789896,85.25762147002342,85.88451871805663,106375700,0.0013967850031653128,,,
6,2010-01-12,84.82476806640625,85.23523113728774,84.49639305463084,85.05612008260923,163333500,-0.009326266422010399,,,
7,2010-01-13,85.54119110107422,85.78000766355298,84.60831301422972,85.04116411921022,161822000,0.008445917990687724,,,
8,2010-01-14,85.77256774902344,85.92929062949273,85.39195178569081,85.44419274584723,115718800,0.0027048565138148017,,,
9,2010-01-15,84.80984497070312,85.70540600284272,84.48146993512745,85.62331793778698,212283100,-0.011224133817904436,,,
10,2010-01-19,85.86958312988281,85.92182408887219,84.7725172972687,84.79491116012485,139172700,0.012495461576963907,,,
11,2010-01-20,84.99641418457031,85.41434187521625,84.31728168727066,85.28747178253269,216490200,-0.010168547621708823,,,
12,2010-01-21,83.36199951171875,85.27999699746914,83.25751760150956,85.01879222194614,344859600,-0.019229219120966867,,,
13,2010-01-22,81.50372314453125,83.39186820260709,81.4141647641998,82.98886403187277,345942400,-0.022291648209880943,,,
14,2010-01-25,81.92166137695312,82.39930043950496,81.65299758916112,82.25003645313285,186937500,0.005127842217474532,,,
15,2010-01-26,81.57836151123047,82.44407553753611,81.37686224998419,81.60074968538686,211168800,-0.004190587201875706,,,
16,2010-01-27,81.96642303466797,82.1529987008524,80.84696903756134,81.47386054289906,271863600,0.004756917352208401,,,
17,2010-01-28,81.02606201171875,82.27985043660136,80.5335053236414,82.23507410873147,316104000,-0.011472515063289834,,,
18,2010-01-29,80.14543914794922,81.94403122305579,80.0185690671046,81.37683962879416,310677600,-0.010868390267345873,,,
19,2010-02-01,81.39177703857422,81.39924166043562,80.2275465570765,80.71264448897995,187865000,0.015550952167399767,83.76501007080078,,
20,2010-02-02,82.37687683105469,82.53359968978535,81.25742295968982,81.54102158449116,216327900,0.012103185706506814,83.65493087768554,,0.01058484741036671
21,2010-02-03,81.96642303466797,82.451520905515,81.72760640970539,82.00373475160237,172730700,-0.004982633624585064,83.51313438415528,,0.010573936189868353
22,2010-02-04,79.43646240234375,81.36938369131416,79.42153315957053,81.33207197205677,356715700,-0.030865817229259407,83.24185409545899,,0.012402884252516235
23,2010-02-05,79.60063934326172,79.76482113510808,78.04832854350197,79.52600452697867,493585800,0.0020667705478425447,82.96087074279785,,0.012344023052930472
24,2010-02-08,79.02598571777344,80.10066333628377,78.9662801403368,79.66034181998519,224166900,-0.007219208667536003,82.6369758605957,,0.012269599210645462
25,2010-02-09,80.01856994628906,80.71263162902116,79.30957902221286,79.9513997479151,337820500,0.012560225848500695,82.35673866271972,,0.012765220607225151
26,2010-02-10,79.86186218261719,80.30217809032912,79.19018854100392,79.89171497711537,240511500,-0.001958392455364555,82.10859336853028,,0.01268827847961619
27,2010-02-11,80.69769287109375,80.7872512270851,79.29464612358237,79.75735575544938,223591600,0.010465955408919703,81.86641845703124,,0.012791246594113338
28,2010-02-12,80.63056182861328,80.67533817826865,79.48871936168982,79.84694154661064,304622100,-0.0008318830451287118,81.60931816101075,,0.01273499620917664
29,2010-02-16,81.89924621582031,81.98133995781451,80.46634658183653,81.24250197370367,159317500,0.01573453487653631,81.4637882232666,,0.013236520333815251
30,2010-02-17,82.2873306274414,82.39927716213644,81.89925006634358,82.29478955427375,168845100,0.0047385590167510205,81.28467559814453,,0.012909496187149245
31,2010-02-18,82.77244567871094,82.9440921329123,82.12316019765389,82.15301299269727,193708600,0.005895379611545515,81.17347717285156,,0.012877398744805783
32,2010-02-19,82.94408416748047,83.26499456608053,82.36196895463337,82.55600925686171,222684900,0.002073618670587196,81.15258140563965,,0.01217337984742252
33,2010-02-22,82.95901489257812,83.2724606752744,82.71273362310049,83.25007250420153,132346900,0.0001800095238559951,81.225345993042,,0.011006228484392243
34,2010-02-23,81.95148468017578,82.98884481330433,81.73505624820724,82.73510466855028,207497000,-0.012144915338097695,81.22683715820312,,0.01133340491538183
35,2010-02-24,82.70526885986328,82.83960357990854,81.98881891756787,82.19778277234094,176350700,0.009197931954853855,81.28318252563477,,0.011462576275798267
36,2010-02-25,82.59333038330078,82.6530359744537,81.30222971419074,81.52611714025633,259634700,-0.0013534624589900401,81.31452789306641,,0.011431518586442797
37,2010-02-26,82.64556121826172,82.92915989454447,82.17539255672045,82.66794938873923,173589300,0.0006323856262793193,81.39550285339355,,0.011082538834110527
38,2010-03-01,83.5037841796875,83.58587790813988,82.9664454821214,82.98883364554732,147709700,0.010384380585900743,81.56342010498047,,0.010897085169396779
39,2010-03-02,83.73514556884766,84.13814963746498,83.58588733328719,83.86202133229445,160992400,0.002770669514357671,81.68058853149414,,0.010432309605095787
40,2010-03-03,83.80977630615234,84.30979763419236,83.6008068151551,83.95156991489065,150785000,0.0008912713627915458,81.75223350524902,,0.010127779809043473
41,2010-03-04,84.06354522705078,84.18295640566502,83.60830007280117,83.92174587590597,135770400,0.003027915502022527,81.85708961486816,,0.010040424090480173
