Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.5986577181208054,0.5986577181208054,1.0,0.7489504617968094,0.5256160295154251
Decision Tree,0.5221476510067115,0.6209677419354839,0.5179372197309418,0.5647921760391198,0.49619433987731904
Random Forest,0.4818791946308725,0.575,0.515695067264574,0.5437352245862884,0.4865020921757128
XGBoost,0.4993288590604027,0.5862884160756501,0.5560538116591929,0.570771001150748,0.5232463968084947
