Metric,ML Strategy,Buy & Hold
Sharpe Ratio,0.6841602420396222,0.6215627642151896
Sortino Ratio,0.8832341498896857,0.8831292797469537
Maximum Drawdown,-0.22385887083040557,-0.22385887083040557
