Metric,ML Strategy,Buy & Hold
Total Return,0.34484991101208107,0.3183135126439669
Annual Return,0.10541299772231416,0.0979863235753442
Volatility,0.16710552196448666,0.17534766450442227
Sharpe Ratio,0.6308169621391481,0.5588116833621869
Max Drawdown,-0.22385887083040848,N/A
Number of Trades,58.0,1
Win Rate,0.5236427320490368,N/A
