Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.5302013422818792,0.5311614730878187,0.9517766497461929,0.6818181818181818
Decision Tree,0.5114093959731544,0.5280898876404494,0.7157360406091371,0.6077586206896551
Random Forest,0.46442953020134226,0.49343832020997375,0.47715736040609136,0.48516129032258065
